title,company_name,company_website,vacancies,salary
QA Automation Engineer,Navya Network,http://www.navyanetwork.com/,2,100000
Backend Operations Executive,Elevate Holidays,http://elevateholidays.com/index.html,5,35000
RO/RE/RM/BDE - Tamil Nadu (Housing Loans),Jana Small Finance Bank,https://www.janabank.com/,10,29167
Digital Marketing Executive,Aliens Group,http://aliensgroup.in,10,45000
Frontend Developer,Spoyl Tech Solutions,https://www.spoyl.in/,1,250000
District Sales Manager,Kissht,https://kissht.com/,3,30000
Product Sales Executive - Delhi,Instinct Innovations Pvt Ltd,http://www.redbook.co.in,8,35000
AutoCAD Draughtsman,K2B Secure Solution,http://www.k2bsecure.com/,1,12000
Chef Cook - Delhi,Nestle India,https://www.nestle.in/,2,30000
Corporate Fundraising & Relationship Manager,Magic Bus,https://www.magicbus.org/,1,50000
Technical Lead- Inapps,Moengage India Pvt Ltd,https://www.moengage.com/,1,0
Chef Cook - Hyderabad,Nestle India,https://www.nestle.in/,1,30000
C C++ Developer - Media Domain,Riversilica Technologies Pvt Ltd,,2,0
UI/UX Designer,Limra Technosys Pvt Ltd,,1,50000
Sales Associate,Phable Care,https://phablecare.com/,3,41667
Social Media Customer Support Executive,Humain Health,https://sigtuple.com,2,33334
Wealth Manager,Diemnsions Corporate Finance Services Pvt Ltd,http://www.dimensionsonline.com/default.aspx,1,45000
Relationship Manager / Business Development Manager,SMC Insurance Brokers Pvt Ltd,,4,33334
Business Development Executive,FSM Education Pvt Ltd,http://www.furtadosschoolofmusic.com/index.php,7,25000
Smart Distribution Officer - Lucknow,Reliance General Insurance,https://www.reliancegeneral.co.in,11,20000
Lead Inspector - Automobile,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.spinny.com,16,800000
Telecollection Executive,Spocto Solutions LLP,http://www.spocto.com,6,15000
Company Secretary,Diemnsions Corporate Finance Services Pvt Ltd,http://www.dimensionsonline.com/default.aspx,1,40000
Sales Executive,Estatepedia,,3,30000
HR & Admin Executive,City Space India,http://cityspaceindia.in/,2,35000
Rail Europe,Elevate Holidays,http://elevateholidays.com/index.html,2,35000
Account Manager,Digital F5 Marketing Services Private Limited,https://www.digitalf5.com,2,30000
Business Development Executive,IndusInd Bank,,100,20000
Marketing Executive,Nutriplanet Foods Private Limited,http://www.nutriplanet.in/,1,30000
Delivery Boy - Zomato - Cyclists -Noida,Zomato,https://runnr.in,170,15000
Business Development Manager,Jai Ingredients Pvt. Ltd.,,2,35000
Operations Executive,Elevate Holidays,http://elevateholidays.com/index.html,5,30000
Sales & Marketing Executive,Regirk Services Private Limited,,2,30000
Delivery Boy-KFC-Gurgaon,KFC ( Devyani International Limited ),,73,16000
Website Administrator,SHRUTI CREATION,http://www.shruticreation.com,2,20000
Android Engineer,Joynt,https://dbst.in/,1,166667
Senior Python Developer,Happay,https://www.happay.com/,4,166667
Delivery Associate - Noida,Dunzo,,50,21951
Field Sales Executives |Chennai|,PhonePe,https://www.phonepe.com/en/,70,17000
Faculty (Quant),CollegeDekho,https://www.collegedekho.com/,2,66667
Academic Counselor,CollegeDekho,https://www.collegedekho.com/,3,50000
Tele Caller,Elevate Holidays,http://elevateholidays.com/index.html,5,15000
Consultant,Skill Speed,,4,25000
Core Java - Project Manager,CONTEXiO,https://www.contexio.co.in/,1,108334
Rider Partner (Food) - Gurgaon,Shadowfax,https://shadowfax.in/,800,20000
Relationship Manager - Showroom Sales - Hyderabad,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.spinny.com,2,35000
Client Relationship Executive,Stark Online Solutions Pvt. Ltd,https://www.rentmantra.com/,1,22000
Relationship Manager (Telesales),KNAB Finance,https://www.knabfinance.com,10,30000
Telecaller,Stark Online Solutions Pvt. Ltd,https://www.rentmantra.com/,2,16000
Delivery Boy Biker's || Rohtak || - (Zomato ),Zomato,https://runnr.in,150,20000
BDE - Gujarat ( Surat & Baroda ),Jana Small Finance Bank,https://www.janabank.com/,10,29167
Counter Sales Executive (Operations),Bonfleet Solutions Pvt Ltd,https://bon.pe/faqs,4,15000
Delivery Boy Biker's || Meerut || - (Zomato ),Zomato,https://runnr.in,75,15000
Unit Sales Manager - Health Agency West,ICICI Lombard,https://www.icicilombard.com/,17,45834
Receptionist,Searock International Private Limited,http://sripl.in/,1,25000
Business Development Executive,SISA INFORMATION SECURITY PVT LTD,,1,70834
Business Development Executive,Web Digital Mantra,,6,26667
CRM Executive,Solution Buggy,https://www.solutionbuggy.com/aboutus.php,2,15000
Telesales Executive,HDFC ERGO,https://www.hdfcergo.com/,10,18000
HR Recruiter - Gurgaon,OLX,https://www.olxpeople.com/about/,3,20000
Patient Outreach,Navya Network,http://www.navyanetwork.com/,1,2917
Executive Assistant,PMX,http://www.powermatrix.in,1,35000
Field Sales Executives - North Delhi,PhonePe,https://www.phonepe.com/en/,6,18000
Hub Manager,Zolo Stays,,10,18000
Business Development Associate - Supply,Porter,https://theporter.in/,1,41667
Front Office Receptionist,Humain Health,https://sigtuple.com,2,30000
Housekeeping Associate,Zolo Stays,,50,10000
Tele Sales Executive : Domestic Sales,Gandalf IT Services LLP,http://www.gandalfservices.com/,2,22000
Online Educational Counselor,Talentedge Education Ventures Pvt. Ltd.,https://talentedge.com/,50,19000
Senior Android Developer,Doctor Insta,https://www.doctorinsta.com/,1,75000
Frontend Developer,Trihund Solutions Pvt Ltd,https://trihund.com/,1,66667
ASP.NET Developer,Yendigital Technologies Pvt Ltd,http://www.yendigital.com/,1,75000
Course Counsellor,K11 Education,https://www.keleven.com/,4,35000
Relationship Manager (Banca Channel) - Gurgaon,PNB MetLife Life Insurance Co Ltd,,8,29167
Phone Banking Officer - Outbound Sales ( Bangalore ),Ujjivan Financial,http://www.ujjivan.com/,10,21667
Business Development Manager,IndusInd Bank,,40,30000
Credit Controller,Elevate Holidays,http://elevateholidays.com/index.html,1,35000
Agency Manager - South,Manipal Cigna Health Insurance Compnay,https://www.cignattkinsurance.in/,20,27084
Delivery Boy - Zomato - Bikers - Delhi NCR,Zomato,https://runnr.in,831,20000
Team Leader,Rapido,http://www.rapido.bike,2,22000
Senior Relationship Manager,Rupeek Fintech Pvt. Ltd.,https://rupeek.com/,30,33000
Delivery Boy - Zomato - Biker's || Gurgaon,Zomato,https://runnr.in,290,20000
Application Support Executive,Courseplay Cloud Learning,http://courseplay.co,1,45834
Team Leader - Sales,Hathway Digital Private Limited,http://www.hathway.com/,6,41667
Content Writer,Blinkvisa.com,http://blinkvisa.com/,1,41667
Delivery Boy -Dominos -Goa,Jubilant Foodworks,https://www.dominos.co.in,63,12000
Fullstack RoR Developer,Relyon Softech Ltd,http://www.relyonsoft.com,6,108334
Delivery Boy - Lucknow- Domino's,Jubilant Foodworks,https://www.dominos.co.in,100,10000
Customer Support (Insurance) - Night Shift,Health Prime Services (I),http://hpiinc.com/,50,16000
Java Developer,Trihund Solutions Pvt Ltd,https://trihund.com/,2,75000
Automation Tester,Trihund Solutions Pvt Ltd,https://trihund.com/,1,41667
Research Support Specialist,G2,https://www.g2.com/,1,116667
Customer Care/Telesales Executive,Mahindra Intergrated Business Solution,https://www.mahindra.com/,15,15900
Java Developer (Multithreading),Techblue Software Pvt Ltd,http://www.techbluesoftware.co.in,1,116667
Receptionist,Trihund Solutions Pvt Ltd,https://trihund.com/,1,19000
Senior Customer Service Associates,Allianz,https://www.allianz.com/en.html,30,50000
Freelancing Executive,Zucol Services Private Limited,https://www.bthawk.com/,1,22000
Product Sales Executive - Mumbai,Instinct Innovations Pvt Ltd,http://www.redbook.co.in,5,35000
Telesales Executive,SHRUTI CREATION,http://www.shruticreation.com,10,20000
Accounts Executive,Nuozen Telecom Private Limited,http://nuozen.net/,1,18000
Centre Manager,MBA PATHSHALA,http://www.mbapathshala.com/,3,50000
Technical Content Writer,Corwhite Solutions Pvt Ltd,http://www.corwhite.com/,2,30000
Business Development Executive - Mumbai,Jana Small Finance Bank,https://www.janabank.com/,33,29167
Senior HR Manager,Hathway Digital Private Limited,http://www.hathway.com/,1,125000
Sr. Research Analyst / Team Leader,CONTEXiO,https://www.contexio.co.in/,1,25000
Account Manager,Aiosell Technologies Pvt Ltd,http://www.aiosell.com,2,20000
EA TO MD,Office Beanz,https://www.officebeanz.com/,1,50000
Academic Consultant - Business Development - Ahmadabad,Toppr,http://www.toppr.com,15,33334
Web Methods developer,Moback technologies india pvt ltd,http://www.moback.com,2,100000
Sr. Account Associate,OLX,https://www.olxpeople.com/about/,1,58334
Delivery Boy - Panchkula - Domino's,Jubilant Foodworks,https://www.dominos.co.in,100,10000
HR & Admin Executive,Rajlaxmi,http://www.rajlaxmi.in/,2,24000
Rider Partner - Delhi,Shadowfax,https://shadowfax.in/,175,20000
Desktop Support Engineer,Net Access,https://digital.netaccess-india.com,2,15000
Team Leader,Rupeek Fintech Pvt. Ltd.,https://rupeek.com/,5,41667
Business Development Executive (Liabilities) - Bangalore / Karnataka,Jana Small Finance Bank,https://www.janabank.com/,180,27500
Chartered Accountant (Banking and Finance),SUNPOWER TRADING PVT LIMITED,http://www.sunpowergrp.com/contactus.html,1,200000
City Operation Manager,Rupeek Fintech Pvt. Ltd.,https://rupeek.com/,4,141667
Inside Sales Executive,Eurotech Assessment & Certification Services Pvt.Ltd.,http://eurotechworld.net/,2,23000
Delivery Boy Biker's || Mumbai || - (Shadowfax) (Food),Shadowfax,https://shadowfax.in/,250,20000
Delivery Boy Cyclist's || Indore || - (Zomato ),Zomato,https://runnr.in,100,20000
Front Desk Executive / Receptionist,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.spinny.com,3,25000
