title,company_name,company_website,vacancies,salary
Java web developer,Ruloans Distribution Services Pvt Ltd,https://www.ruloans.com/,1,50000
Sr. Sales Manager - Agency - Gujarat State,Future Generali General Insurance,,8,45834
Delivery Boy - Ludhiana- Domino's,Jubilant Foodworks,https://www.dominos.co.in,100,10000
Senior React JS Developer,Happay,https://www.happay.com/,4,166667
Logistics Co-ordinator,Rentomojo,http://www.rentomojo.com,1,37500
Education Counselor,Simandhar Education,https://simandhareducation.com/,3,35000
Sales Executive,ANDROMEDA SALES & DISTRIBUTION PVT LTD,,1,20000
Inside sales Executive,Pocket52,https://www.pocket52.com/,5,25000
Marketing Manager,Eurotech Assessment & Certification Services Pvt.Ltd.,http://eurotechworld.net/,1,30000
Business Development Executive:- Hyderabad,Digi Prex,,15,26000
Corporate Sales Consultant,Performance Advantage Group Pvt. Ltd.,https://performanceadvantagegroup.com/,3,50000
Linux System Engineer,ERA Learning,,1,35000
Delivery Boy - Domino's (Mumbai),Jubilant Foodworks,https://www.dominos.co.in,230,12000
BDE Liabilities - Tamil Nadu,Jana Small Finance Bank,https://www.janabank.com/,18,25000
Online Bidder,Eyered Transcription Services,,1,30000
Android developer,SHRUTI CREATION,http://www.shruticreation.com,1,30000
Wealth Manager,Bajaj Capital ltd.,,16,66667
Team Leader,Rapido,http://www.rapido.bike,2,25000
Backend / Full Stack Developer,AppartmentADDA,https://adda.io/,1,75000
Delivery Boy - Ambala - Domino's,Jubilant Foodworks,https://www.dominos.co.in,50,10000
Digital Marketing Executive,Windshield World,http://windshieldworld.in,1,18000
Store Manager,Zivame,http://www.zivame.com,3,40000
Relationship Officer / Relationship Manager ( North & UP ),Shubham Housing Development Company Ltd,https://shubham.co/,14,24167
Grab Delivery Boy - Food (Mumbai),Grab a Grub Services Pvt Ltd,http://www.grab.in/,114,20000
Sales Lead (Inside Sales Manager),Board Infinity,https://boardinfinity.com,1,60000
Relationship Manager - Showroom Sales - Bangalore,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.spinny.com,13,32000
Sales Analyst - Telesales,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,https://www.spinny.com,10,29167
Relationship Manager (Banca Channel) - Kanpur,PNB MetLife Life Insurance Co Ltd,,5,29167
Relationship Manager (Banca Channel) - Karnal,PNB MetLife Life Insurance Co Ltd,,7,29167
Business Development Executive,Board Infinity,https://boardinfinity.com,4,3334
Team Leader- Backend Development,Toppr,http://www.toppr.com,2,233334
Regional Category Manager – F & V,Big Basket,http://www.bigbasket.com,1,75000
Delivery Boy - Ghaziabad- Domino's,Jubilant Foodworks,https://www.dominos.co.in,25,12000
Delivery Boy - Zomato - Sultanpur,Zomato,https://runnr.in,15,12000
Channel Development Manager – Health Sales (Assistant Manager ) - Rajkot,Future Generali General Insurance,,2,54167
Senior Business Analyst,Xmplar,http://www.xmplar.in/,3,91667
Relationship Manager (Banca Channel) - Udaipur,PNB MetLife Life Insurance Co Ltd,,18,29167
Delivery Boy - Zomato - Sambhal,Zomato,https://runnr.in,10,12000
Full Stack Developer,Rentickle,http://www.rentickle.com,1,75000
Social Media - Team Lead,RedBus,https://www.redbus.in/,1,50000
Delivery Boy - Kota- Domino's,Jubilant Foodworks,https://www.dominos.co.in,1,12000
Sales Promoter - Coimbatore - Fulltimers,Bata,https://www.bata.in/,6,834
Delivery Partner - Uber Mumbai,Uber,http://www.uber.com,100,35000
PHP Developer,Brigosha Technology,,2,83334
Delivery Boy Biker's || Faridabad || - (Zomato ),Zomato,https://runnr.in,34,18000
Java Developer ( SDE III ),Novopay,https://www.novopay.in/,1,150000
Key Account Manager,Printo,http://www.printo.in,1,83334
Web Designer,SHRUTI CREATION,http://www.shruticreation.com,2,2084
Asst Manager-Business Development,Bluedart,http://www.bluedart.com,1,50000
Sr. Quality Assurance Engineer,Courseplay Cloud Learning,http://courseplay.co,1,58334
Backend Developer,Spoyl Tech Solutions,https://www.spoyl.in/,5,208334
Marketing Executive,Windshield World,http://windshieldworld.in,5,18000
Front Office Executive,Office Beanz,https://www.officebeanz.com/,2,28000
Smart Distribution Officer - Chandigarh,Reliance General Insurance,https://www.reliancegeneral.co.in,5,20000
Sales Executive - Pune,Hathway Digital Private Limited,http://www.hathway.com/,20,1334
UI Developer,Noesys Software,,1,100000
Delivery Boy Biker's || Mangalore || - (Zomato),Zomato,https://runnr.in,250,25000
Full Stack Developer,Eudemonic Technologies Private Limited,http://www.eudemonic.co.in,2,50000
Sales Manager,ANDROMEDA SALES & DISTRIBUTION PVT LTD,,1,30000
Relationship Executive,MyCord,https://www.mycord.com,1,18000
Store Assistant,Freshtohome,http://freshtohome.com,1,15000
Executive Assistance,Rajlaxmi,http://www.rajlaxmi.in/,2,30000
Administration Executive,Bluedart,http://www.bluedart.com,1,30000
Account Manager,The Media Ant,http://www.TheMediaAnt.com,2,41667
SharePoint Developer,Q3 INFOTECH PVT LTD,http://www.q3tech.com,4,125000
Field Sales Executive - Hyderabad,UrbanDart,http://www.urbandart.com/,200,16000
Collection associate,Money View,https://moneyview.in/,5,21667
Customer Support Executive ( Voice Support),Rapido,http://www.rapido.bike,10,25000
Delivery Boy Biker's ||Sikandrabad || - (Zomato ),Zomato,https://runnr.in,20,20000
Delivery Boy Cyclist's || Lucknow || - (Zomato ),Zomato,https://runnr.in,85,14000
Delivery Boy - Zomato - Dehradun,Zomato,https://runnr.in,51,12800
"Engineering Manager, Backend",Happay,https://www.happay.com/,1,333334
Jr Android Developer,Joynt,https://dbst.in/,2,66667
C# Developer,Brigosha Technology,,2,0
Delivery Boy Biker's || Mughalsarai || - (Zomato ),Zomato,https://runnr.in,90,18000
Delivery Boy Biker's || Guwahati || - (Zomato ),Zomato,https://runnr.in,100,15000
Assistant Center Manager,MBA PATHSHALA,http://www.mbapathshala.com/,3,26667
Field Sales Executive(Chennai),Big Basket South,,6,20000
Senior Backend Engineer (Java & PHP),Sterling and Wilson (Shapoorji Pallonji Group),http://www.sterlingandwilson.com/,1,208334
Process Trainer ( Life Insurance),Allianz,https://www.allianz.com/en.html,1,75000
Senior Executive - Business Development,Bluedart,http://www.bluedart.com,1,35000
Content Writer,OLX,https://www.olxpeople.com/about/,1,41667
Helpdesk Executive(Inbound Customer care) - Bangalore,MSwipe,http://www.mswipe.com,25,16000
Sales and Marketing Executive,Hira Print Solutions Pvt. Ltd,http://www.hiraprint.in,5,30000
Salesforce Developer,Cloud Certitude Pvt. Ltd.,http://www.cloudcertitude.com,1,125000
Senior IT Engineer,KNAB Finance,https://www.knabfinance.com,1,50000
React Developer,Procedure Technologies Pvt Ltd.,http://procedure.tech,1,66667
Delivery Boy Biker's || Chennai || - (Zomato),Zomato,https://runnr.in,450,25000
Delivery Boy - Gurgaon/Faridabad- Domino's,Jubilant Foodworks,https://www.dominos.co.in,74,12000
Delivery Boy Biker's || Roorkee || - (Zomato ),Zomato,https://runnr.in,35,15000
Territory Sales Manager,No Broker,https://www.nobroker.in/,20,58334
Key Account Manager,Printo,http://www.printo.in,1,52000
Project Manager,PY Technology,http://www.pytech.in/,1,45834
Delivery Boy Cyclist's || Ghaziabad || - (Zomato ),Zomato,https://runnr.in,72,15000
CREM - West,Jana Small Finance Bank,https://www.janabank.com/,20,16667
Relationship Manager (Banca Channel) - Amritsar / Jammu,PNB MetLife Life Insurance Co Ltd,,25,29167
Inside Sales - Delhi,Magicpin,https://magicpin.in,30,20000
Sales & Marketing Executive,Gracias Interior Solutions LLP,,2,20000
IT Recruiter,Net Access,https://digital.netaccess-india.com,1,25000
Delivery Boy Biker's || Jind || - (Zomato ),Zomato,https://runnr.in,70,15000
Delivery Boy - Zomato - Cyclists -Ghaziabad,Zomato,https://runnr.in,45,15000
Tele Sales Executive,TRIPSAILER.COM,,1,22000
Delivery Boy - Zomato - Ambala,Zomato,https://runnr.in,100,15000
Delivery Boy - Zomato - Cyclists -Noida,Zomato,https://runnr.in,61,15000
Business Developement Executive,Bluedart,http://www.bluedart.com,1,30000
Java Full Stack developer,NOUS INFOSYSTEMS PRIVATE LTD,https://www.nousinfosystems.com/,2,125000
Sales Executive,Nuozen Telecom Private Limited,http://nuozen.net/,5,30000
Chef Cook - Guwahati,Nestle India,https://www.nestle.in/,1,30000
Delivery Boy - Zomato - Haridwar,Zomato,https://runnr.in,20,15000
Delivery Boy Biker's || Ambala || - (Zomato ),Zomato,https://runnr.in,50,20000
Delivery Boy Biker's || Pune || - (Zomato),Zomato,https://runnr.in,150,25000
Micro Finance Sales ( Chennai ),Jana Small Finance Bank,https://www.janabank.com/,50,18334
Lead/Demand Generation Executive,Excelsior Research Pvt Ltd,http://www.excelsiorresearch.com/,20,25000
Channel Sales Executive / Manager,Bathline Sensations,https://www.bathlineindia.com/,9,55000
Java Developer,Techblue Software Pvt Ltd,http://www.techbluesoftware.co.in,2,54167
Delivery Boy Biker's || Kolkata || - (Zomato ),Zomato,https://runnr.in,130,20000
Assistant Store Manager,A La Mode,http://alamode.in/,1,26000
C# Developer,Brigosha Technology,,2,83334
Voice Coach,Allianz,https://www.allianz.com/en.html,1,75000
Delivery Boy - Zomato - Cyclists -Gurgaon,Zomato,https://runnr.in,124,15000
Nodejs Developer,Moback technologies india pvt ltd,http://www.moback.com,2,0
Delivery Boy Biker's || Etawah (uttar pardesh)|| - (Zomato ),Zomato,https://runnr.in,100,18000
Junior - React JS,Moback technologies india pvt ltd,http://www.moback.com,1,0
Delivery Boy Biker's || Pune || - (Shadowfax),Shadowfax,https://shadowfax.in/,41,20000
Delivery Boy - Zomato - Biker's || Ghaziabad,Zomato,https://runnr.in,195,18000
Grab - Van Associate,Grab a Grub Services Pvt Ltd,http://www.grab.in/,14,10500
Sitecore Developer,Q3 INFOTECH PVT LTD,http://www.q3tech.com,1,150000
Overseas Process Trainer,CollegeDekho,https://www.collegedekho.com/,1,41667
Graphic Designer,Hira Print Solutions Pvt. Ltd,http://www.hiraprint.in,2,25000
Delivery Boy Cyclist's || Kolkata|| - (Zomato ),Zomato,https://runnr.in,300,12000
Sales Manager,City Space India,http://cityspaceindia.in/,4,65000
Assistant Manager / Manager - Marketing,BIG TRUNK COMMUNICATIONS PRIVATE LIMITED,http://bigtrunk.co.in/,1,62500
Sales Executive,Piercing Systems India Pvt Ltd,https://www.studex.com/,5,30000
Business Development Manager - Ad Agency,Digital F5 Marketing Services Private Limited,https://www.digitalf5.com,2,60000
Python Developer,Procedure Technologies Pvt Ltd.,http://procedure.tech,1,41667
Delivery Boy - Zomato - Azamgarh,Zomato,https://runnr.in,20,12000
Delivery Boy - Noida/Greater Noida - Domino's,Jubilant Foodworks,https://www.dominos.co.in,49,12000
Ionic Developer,Limra Technosys Pvt Ltd,,2,66667
Core Java Developer,ScoreMe Solutions Private Limited,https://www.scoreme.in/,10,75000
Delivery Boy Biker's || Bhopal || - (Zomato ),Zomato,https://runnr.in,100,20000
Delivery Executives - Ecom/Food - Pune (Video JD Inside),Grab a Grub Services Pvt Ltd,http://www.grab.in/,80,15000
Java Developer ( SDE II ),Novopay,https://www.novopay.in/,3,116667
Telecalling Team Lead,SlicePay,https://slicepay.in/,1,50000
Field Sales Executive (NOIDA),Wheelseye Technology,https://wheelseye.com/,10,15000
Sales manager _South Zone,Mak Plywood Industries Pvt Ltd,http://trojanply.com/trojan_plywood.html,3,41667
Quality Analyst,Rupeek Fintech Pvt. Ltd.,https://rupeek.com/,4,35000
Telesales-TL,Ruloans Distribution Services Pvt Ltd,https://www.ruloans.com/,1,30000
Delivery Boy Biker's || Moradabad || - (Zomato ),Zomato,https://runnr.in,40,13000
PHP Developer,Hybrent Technologies Pvt. Ltd.,https://hybrent.com/,2,100000
Delivery Boy - Chandigarh - Domino's,Jubilant Foodworks,https://www.dominos.co.in,50,10000
Delivery Boy Biker's || Ludhiana|| - (Zomato ),Zomato,https://runnr.in,500,18000
Pharmacist,Medlife International Pvt Ltd,https://www.medlife.com/,30,25000
Delivery Boy Biker's || Indore || - (Zomato ),Zomato,https://runnr.in,100,20000
Field Sales Executives - South Delhi and Faridabad,PhonePe,https://www.phonepe.com/en/,10,18000
Delivery Boy Biker's || Coimbatore || - (Zomato),Zomato,https://runnr.in,400,25000
Field Sales Executive - Gurgaon,PhonePe,https://www.phonepe.com/en/,11,20000
USM - Branch Banking (SME - Banca Channel) - Bangalore,ICICI Lombard,https://www.icicilombard.com/,3,45834
